04:31:37,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,
04:31:38,509060,440388,46.38,26540,344416,109196,10.38,268024,132192,52,
04:31:39,501444,448004,47.19,26540,344420,115652,11.00,275824,132196,52,
04:31:40,493736,455712,48.00,26540,344420,123304,11.72,283268,132196,52,
04:31:41,487680,461768,48.64,26540,344420,129644,12.33,289528,132196,52,
04:31:42,479356,470092,49.51,26540,344420,138172,13.14,297444,132196,52,
04:31:43,470880,478568,50.40,26540,344416,147384,14.01,305868,132192,52,
04:31:44,462708,486740,51.27,26548,344416,155152,14.75,313984,132192,56,
04:31:45,454820,494628,52.10,26548,344420,163548,15.55,321496,132196,56,
04:31:46,447360,502088,52.88,26548,344412,170812,16.24,328540,132188,36,
04:31:47,446556,502892,52.97,26548,344412,170812,16.24,329860,132188,36,
04:31:48,446636,502812,52.96,26548,344420,170812,16.24,330000,132196,36,
04:31:49,446040,503408,53.02,26548,344420,172116,16.36,330252,132196,36,
04:31:50,446144,503304,53.01,26548,344420,172116,16.36,330252,132196,36,
04:31:51,446248,503200,53.00,26556,344420,172116,16.36,330092,132196,44,
04:31:52,445996,503452,53.03,26556,344420,171892,16.34,330096,132192,44,
04:31:53,446116,503332,53.01,26556,344420,171892,16.34,330096,132192,44,
04:31:54,446140,503308,53.01,26556,344420,171892,16.34,330100,132196,44,
04:31:55,445980,503468,53.03,26556,344424,170524,16.21,330204,132196,44,
04:31:56,446140,503308,53.01,26556,344420,170524,16.21,330100,132196,44,
04:31:57,446140,503308,53.01,26556,344420,170524,16.21,330100,132196,44,
04:31:58,446044,503404,53.02,26556,344412,170152,16.18,330228,132188,44,
04:31:59,446256,503192,53.00,26556,344420,170152,16.18,330144,132196,44,
04:32:00,446264,503184,53.00,26556,344420,170152,16.18,330144,132196,44,
04:32:01,443584,505864,53.28,26556,344420,173724,16.52,332908,132196,44,
04:32:02,437708,511740,53.90,26556,344420,179776,17.09,338904,132196,44,
04:32:03,434352,515096,54.25,26556,344420,191412,18.20,342148,132196,44,
04:32:04,433624,515824,54.33,26556,344420,191300,18.19,342696,132196,44,
04:32:05,433360,516088,54.36,26556,344420,191300,18.19,343264,132196,44,
04:32:06,432616,516832,54.43,26556,344420,192332,18.29,343992,132196,44,
04:32:07,431900,517548,54.51,26556,344420,193012,18.35,344652,132196,44,
04:32:08,431128,518320,54.59,26556,344420,193012,18.35,345288,132196,44,
04:32:09,430384,519064,54.67,26556,344420,194052,18.45,346128,132196,44,
04:32:10,429308,520140,54.78,26556,344412,194676,18.51,346996,132188,0,
04:32:11,428772,520676,54.84,26556,344420,195840,18.62,347700,132196,0,
04:32:12,428028,521420,54.92,26556,344420,195840,18.62,348432,132196,0,
04:32:13,426752,522696,55.05,26556,344420,198056,18.83,349484,132196,0,
04:32:14,426292,523156,55.10,26556,344420,199220,18.94,350012,132196,0,
04:32:15,425548,523900,55.18,26556,344420,199220,18.94,350852,132196,0,
04:32:16,424548,524900,55.28,26556,344420,200988,19.11,351700,132196,0,
04:32:17,423936,525512,55.35,26556,344420,202152,19.22,352372,132196,0,
04:32:18,423192,526256,55.43,26556,344420,202152,19.22,353156,132196,0,
04:32:19,422784,526664,55.47,26556,344420,201764,19.18,353760,132196,0,
04:32:20,422200,527248,55.53,26556,344420,202804,19.28,354388,132196,0,
04:32:21,421580,527868,55.60,26556,344420,202804,19.28,355012,132196,0,
04:32:22,404164,545284,57.43,26556,344436,300940,28.61,372192,132212,0,
04:32:23,382084,567364,59.76,26556,344420,313772,29.83,393772,132196,0,
04:32:24,381588,567860,59.81,26556,344420,313928,29.85,394380,132196,0,
04:32:25,378468,570980,60.14,26556,344420,317896,30.22,397352,132196,0,
04:32:26,397608,551840,58.12,26556,345144,301008,28.62,377976,132900,724,
04:32:27,397760,551688,58.11,26556,345160,301008,28.62,377444,132936,740,
04:32:28,522400,427048,44.98,26556,345160,91736,8.72,254064,132280,740,
04:32:29,522424,427024,44.98,26556,345160,91736,8.72,254064,132280,740,
04:32:30,522424,427024,44.98,26556,345160,91736,8.72,253968,132280,740,
04:32:31,522420,427028,44.98,26556,345156,92520,8.80,254048,132276,740,
04:32:32,522432,427016,44.98,26564,345156,92332,8.78,254036,132280,768,
04:32:33,522424,427024,44.98,26564,345160,92332,8.78,253968,132280,768,
04:32:34,522244,427204,44.99,26564,345156,91676,8.72,254060,132276,768,
04:32:35,522336,427112,44.99,26564,345160,92600,8.80,254020,132280,768,
04:32:36,522424,427024,44.98,26564,345160,92600,8.80,253976,132280,768,
04:32:37,522604,426844,44.96,26564,345160,91160,8.67,253704,132280,768,
Average:,,452186,497262,52.37,26554,344567,175216,16.66,324209,132233,175,
