03:13:36,PM,CPU,%user,%nice,%system,%iowait,%steal,%idle,,,
03:13:37,PM,all,25.63,0.00,0.25,0.00,0.00,74.12,,,
03:13:38,PM,all,25.81,0.00,0.00,0.00,0.00,74.19,,,
03:13:39,PM,all,25.88,0.00,0.25,0.00,0.00,73.87,,,
03:13:40,PM,all,29.65,0.00,0.25,0.00,0.00,70.10,,,
03:13:41,PM,all,25.81,0.00,0.00,0.00,0.00,74.19,,,
03:13:42,PM,all,25.94,0.00,0.50,0.00,0.00,73.57,,,
03:13:43,PM,all,25.69,0.00,0.25,0.00,0.00,74.06,,,
03:13:44,PM,all,24.56,0.00,0.25,0.50,0.00,74.69,,,
03:13:45,PM,all,1.01,0.00,0.00,0.00,0.00,98.99,,,
03:13:46,PM,all,4.99,0.00,2.74,0.00,0.00,92.27,,,
03:13:47,PM,all,4.02,0.00,1.01,0.00,0.00,94.97,,,
03:13:48,PM,all,3.28,0.00,2.27,0.00,0.00,94.44,,,
03:13:49,PM,all,3.51,0.00,1.75,0.00,0.00,94.74,,,
03:13:50,PM,all,2.78,0.00,2.02,0.00,0.00,95.20,,,
03:13:51,PM,all,1.01,0.00,0.50,0.00,0.00,98.49,,,
Average:,,all,15.32,0.00,0.80,0.03,0.00,83.85,,,,
