03:29:00,PM,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
03:29:01,PM,3180292,4868764,60.49,136540,1955772,13158468,80.63,3157336,1360160,176
03:29:02,PM,3182276,4866780,60.46,136548,1955568,13158468,80.63,3155756,1359956,292
03:29:03,PM,3183640,4865416,60.45,136548,1953104,13158468,80.63,3156356,1357476,304
03:29:04,PM,3179960,4869096,60.49,136548,1956404,13158468,80.63,3157540,1360740,368
03:29:05,PM,3178184,4870872,60.51,136548,1958048,13158468,80.63,3157216,1362436,484
03:29:06,PM,3179768,4869288,60.50,136548,1956776,13158468,80.63,3157216,1361132,484
03:29:07,PM,3174836,4874220,60.56,136548,1960700,13166732,80.68,3158376,1365072,484
03:29:08,PM,3175320,4873736,60.55,136556,1958428,13166732,80.68,3158912,1362812,508
03:29:09,PM,3179796,4869260,60.49,136556,1957204,13166732,80.68,3155624,1361592,508
03:29:10,PM,3182292,4866764,60.46,136556,1955140,13166732,80.68,3155192,1359524,508
Average:,,3179636,4869420,60.50,136550,1956714,13161774,80.65,3156952,1361090,412,
