04:31:37,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,,
04:31:38,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:31:39,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:31:40,wlan0,6.00,2.00,0.48,0.64,0.00,0.00,4.00,0.00,,
04:31:41,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:31:42,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:31:43,wlan0,4.00,0.00,0.38,0.00,0.00,0.00,4.00,0.00,,
04:31:44,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:31:45,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:31:46,wlan0,4.00,0.00,0.38,0.00,0.00,0.00,4.00,0.00,,
04:31:47,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:31:48,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:31:49,wlan0,4.00,0.00,0.38,0.00,0.00,0.00,4.00,0.00,,
04:31:50,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:31:51,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:31:52,wlan0,4.00,0.00,0.38,0.00,0.00,0.00,4.00,0.00,,
04:31:53,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:31:54,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:31:55,wlan0,4.00,0.00,0.38,0.00,0.00,0.00,4.00,0.00,,
04:31:56,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:31:57,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:31:58,wlan0,4.00,0.00,0.38,0.00,0.00,0.00,4.00,0.00,,
04:31:59,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:32:00,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:32:01,wlan0,4.00,0.00,0.38,0.00,0.00,0.00,4.00,0.00,,
04:32:02,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:32:03,wlan0,158.00,84.00,220.67,8.23,0.00,0.00,0.00,0.00,,
04:32:04,wlan0,4.00,0.00,0.38,0.00,0.00,0.00,4.00,0.00,,
04:32:05,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:32:06,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:32:07,wlan0,4.00,0.00,0.38,0.00,0.00,0.00,4.00,0.00,,
04:32:08,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:32:09,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:32:10,wlan0,4.00,0.00,0.38,0.00,0.00,0.00,4.00,0.00,,
04:32:11,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
04:32:12,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
